trend,prev_candle,next_candle
0,1,bear
0,0,bear
1,1,bull
1,0,bull
1,0,bull
1,1,bull
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
1,1,bull
1,1,bull
1,0,bull
1,0,bull
1,1,bull
1,0,bull
0,0,bear
0,0,bear
0,1,bear
0,1,bear
1,0,bull
1,1,bull
0,0,bear
0,1,bear
1,1,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
1,0,bull
1,0,bull
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
1,0,bull
1,0,bull
1,0,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,0,bull
1,0,bull
1,0,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,1,bear
1,1,bull
1,0,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,1,bull
0,1,bear
1,0,bull
1,1,bull
1,0,bull
0,0,bear
0,1,bear
1,1,bull
1,0,bull
0,1,bear
1,0,bull
1,0,bull
0,0,bear
0,1,bear
0,1,bear
1,1,bull
1,1,bull
1,1,bull
1,0,bull
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
0,1,bear
1,1,bull
1,0,bull
0,1,bear
0,0,bear
0,0,bear
0,0,bear
1,1,bull
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,1,bull
1,0,bull
1,0,bull
0,1,bear
1,0,bull
0,1,bear
1,0,bull
0,0,bear
0,1,bear
1,1,bull
1,1,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,1,bear
1,1,bull
1,0,bull
0,0,bear
0,1,bear
1,1,bull
0,0,bear
0,1,bear
1,1,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,1,bull
1,0,bull
0,0,bear
1,0,bull
0,1,bear
1,0,bull
0,1,bear
1,0,bull
0,1,bear
1,1,bull
0,1,bear
1,0,bull
1,1,bull
1,0,bull
0,1,bear
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,1,bull
1,0,bull
0,0,bear
1,0,bull
0,1,bear
1,0,bull
0,0,bear
0,1,bear
0,0,bear
1,0,bull
0,1,bear
1,0,bull
0,0,bear
0,1,bear
0,0,bear
0,1,bear
0,1,bear
1,1,bull
1,0,bull
0,1,bear
1,1,bull
1,0,bull
0,0,bear
0,0,bear
0,1,bear
0,0,bear
0,1,bear
1,0,bull
0,1,bear
1,1,bull
1,1,bull
1,0,bull
0,0,bear
0,1,bear
1,0,bull
1,0,bull
1,0,bull
0,1,bear
1,0,bull
0,0,bear
1,0,bull
0,0,bear
0,0,bear
0,1,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
1,0,bull
0,0,bear
0,1,bear
0,1,bear
1,0,bull
0,1,bear
1,0,bull
0,1,bear
0,0,bear
0,1,bear
1,0,bull
0,1,bear
1,1,bull
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,0,bull
1,0,bull
0,0,bear
0,1,bear
1,0,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
1,0,bull
0,1,bear
1,0,bull
0,1,bear
1,0,bull
1,1,bull
0,0,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
0,0,bear
0,0,bear
0,0,bear
1,1,bull
0,1,bear
0,0,bear
0,0,bear
0,0,bear
0,1,bear
1,0,bull
0,1,bear
0,1,bear
1,0,bull
1,0,bull
1,0,bull
0,0,bear
0,0,bear
0,1,bear
1,0,bull
